ASG-ITEM-ID,Nombre del Producto/Servicio,Descripción Completa del Producto/Servicio,Precio (Costo Estimado por Unidad),Categoría,Subcategoría,Agencia,Categoria NIGP,Sub-Categoria NIGP,Agencia ID,Modo de Adquisición,ID Articulo,ASG-ITEM-ID,Requisicion Item ID,Licitacion,Marca,Modelo,Garantia,Número de contrato,Núm. de Partida,Renglón
204-36-014-04-0000001475,"Sitema Operativo; Window 10 Pro 64-Bit, Processpr: Inter Core 19 (9Th Gen)","Sitema Operativo; Window 10 Pro 64-Bit, Processpr: Inter Core 19 (9Th Gen)
99/3.1 O5 Gh (8 Core) Or Better
Procesor: Main Features : Inter Truvo Boots Tecnology 2, Inter Snart Cache.
Memory Ram 16Gb(Installed In Oe Dimmv 128Gb (Max) Ddr4 Sdram-Non-Ecc-Store Controller: M.2Nvm Express(Nvme) Graphis Controller: Interate Graphics. Dispaly Port An Hdm; Audio Output; Stereo. Networking; Gigabil Ehernet 10/100/1000-Keyboard:Usb Optical.
Power According To Manufacturer
Opretating System:Windows 10 Pro 64-Bil Edition
Dimensions (Wxdxh) Segun El Fabricante
Weigh: According To The Manufacturer Enviromental Standards: Tco Certified, Energy Star Qualified
Warranty: 3 Years-Parts And Labor-On-Site, Con Battery Back-Up
Monitor
Divice Type; Led-Baclit Lcd Monitor-27 Or Better
Native Resolution. Full Hd (1080P)1920 X 1080
Input Connectors; Compatible Con El Cpu. Scredd: Anti Giare
Environmental Standars;  Tco Certified, Energy Star Qualified 
Warrantt; 3 Year 
In The Bo Must Include: Ac Power Cird, Display Port Cable Of Hdmi Sea Compatible Con Cpu Cd(Includes User Guide,Warranty Drivers.",$953.00,Software de Computadora,Sistemas Operativos,Comisión para la Seguridad en el Tránsito,204,36,014,04,0000001475,204-36-014-04-0000001475,204-36-0000001475,204,Lenovo,Thinkcentre M70S,3 Years,20-299-C,1,1
910-67-013-05-0000000901,Labor Instalación,Labor Instalación,$295.00,Servicios de Instalación,Instalación de Equipos Eléctricos,Administración de Terrenos,910,67,013,05,0000000901,910-67-013-05-0000000901,910-67-0000000901,910,Ford,350,30 Dias,2016-000024,1,7
031-72-006-06-0000001014,"Acondicionador De Aire Tipo Mini Split (Pared) De 18,000 Btu Y 230 Voltios, Según Especificaciones Uea-19-257","Acondicionador De Aire Tipo Mini Split (Pared) De 18,000 Btu Y 230 Voltios, Según Especificaciones Uea-19-257","$1,058.00",Equipos de HVAC,Unidades Montadas en Pared,Administración de Servicios de Salud Mental y Contra la Adicción,031,72,006,06,0000001014,031-72-006-06-0000001014,031-72-0000001014,31,Trane,Clase A Real Capacity,1 Año Labor/5 Años Piezas/10 Años Compresor,19-142-C,11,1
060-15-003-01-0000001474,Gomas 235 65 R16,Gomas 235 65 R16,$160.00,Neumáticos para Automóviles,Neumáticos para Vehículos de Pasajeros,Departamento de Seguridad Pública de Puerto Rico,060,15,003,01,0000001474,060-15-003-01-0000001474,060-15-0000001474,60,Cooper,Adventure H/T,Por Defecto De Manufactura,21-RFP-005-ASG,A-16,
060-15-003-02-0000001554,Bateria Con No Menos De 700 Cold Crankings.,"Bateria Con No Menos De 700 Cold Crankings.
Para Ge-05199 Ford Taurus 2012",$114.90,Baterías y Cargadores,Baterías Automotrices,Departamento de Seguridad Pública de Puerto Rico,060,15,003,02,0000001554,060-15-003-02-0000001554,060-15-0000001554,60,Ac Delco,Acd65A,12 Meses,18-041-C,3,
060-67-003-03-0000001739,Compra De Bateria,"Compra De Bateria 
Ford Edge 2012
Tablilla Ge-09138
Vin:2Fmdk3Gc3Cba85167",$149.90,Baterías y Cargadores,Compra Genérica,Departamento de Seguridad Pública de Puerto Rico,060,67,003,03,0000001739,060-67-003-03-0000001739,060-67-0000001739,60,Adelco,Acd31Tp,12 Meses,18-041-C,2,
031-45-006-04-0000001099,"Acondicionador De Aire Tipo Mini Split Piso-Techo De 60,000 Btu Y 230 Voltios, Según Especificacion Uea-19-258","Acondicionador De Aire Tipo Mini Split Piso-Techo De 60,000 Btu Y 230 Voltios, Según Especificacion Uea-19-258","$3,285.00",Equipos de HVAC,Unidades de Techo o Piso,Administración de Servicios de Salud Mental y Contra la Adicción,031,45,006,04,0000001099,031-45-006-04-0000001099,031-45-0000001099,31,Miden,Ceilin Floor,1 Año Servicio /5 A Nos En Compresor,19-142-C,21,1
615-40-003-05-0000001603,Boligrafo Gel Negro,Boligrafo Gel Negro,$13.29,Suministros de Oficina,Bolígrafos y Lápices,Departamento de Seguridad Pública de Puerto Rico,615,40,003,05,0000001603,615-40-003-05-0000001603,615-40-0000001603,615,Pilot,Presice V7,,19-067-C,164,
425-15-001-06-0000001139,Credencia Con Doble Pedestal Con Llave.,"Credencia Con Doble Pedestal Con Llave.  Un Pedestal Con Tres (3) Gavetas Medianas Al Lado Izquierdo Y Otro Con Una (1) Gaveta De Archivo Y Una Mediana Al Lado Derecho.  Dos Puertas Corredizas En El Centro Con Tiradores Propios Forjados En El Borde Interior De La Madera O Metal Pulido, Cromado O Pintado En Epoxy.  Las Patas Laterales Y El Tope Del Diseño Mederno Serán De Un Espesor Mínimo De Una (1) Puglada, Sus Bordes Serán Cubiertos Con Moldura De Madera Sólida, Plástico Laminado O Pvc Del Mismo Color De La Superficie Del Escritorio.  Ejecutiva 60 Ancho X 20 Fondo X 29-30 Alto.

Laminado Color Roble Inca",$565.90,Mobiliario de Oficina,Credenzas y Unidades de Almacenamiento,Junta Reglamentadora de Servicio Público,425,15,001,06,0000001139,425-15-001-06-0000001139,425-15-0000001139,425,Karla,Kwpbl6020,12 Años C.D.F.,16-119-C,3,9
060-60-003-01-0000001584,Bateria De Polo Regular,"Bateria De Polo Regular
No Menos De 900 Cc

Para El Funcionamiento Del Generador De La Estacion De Yabucoa.

Marca Onan-Serie-H960615725",$218.90,Baterías y Cargadores,Poste Regular,Departamento de Seguridad Pública de Puerto Rico,060,60,003,01,0000001584,060-60-003-01-0000001584,060-60-0000001584,60,Ac Delco,Adc-4-Da,12 Meses,18-041-C,6,
840-15-006-02-0000001226,Gancho Fijo Para Televisor De 32 A 70 Según Especificacion Uea 491,Gancho Fijo Para Televisor De 32 A 70 Según Especificacion Uea 491,$86.94,Equipos Audiovisuales,Soportes para TV,Administración de Servicios de Salud Mental y Contra la Adicción,840,15,006,02,0000001226,840-15-006-02-0000001226,840-15-0000001226,840,Kanto,Pf300,5 Años Por Manufacturero,18-155-C,49,
060-20-003-03-0000001679,Bateria (Tipo Polo),"Bateria (Tipo Polo) 
900Cca 4Da 
Ultima Istalcion: Junio 2015
Marcan Onan 
Num. Serie K960622941
Num. Prop 23979
Estacion Junco",$218.90,Baterías y Cargadores,Baterías Tipo Poste,Departamento de Seguridad Pública de Puerto Rico,060,20,003,03,0000001679,060-20-003-03-0000001679,060-20-0000001679,60,Adelco,Adc-4-Da,Por Defecto De Manufactura,18-041-C,6,
425-84-006-04-0000001227,Sillas Ejecutivas Ergonomicas Heavy Duty,Sillas Ejecutivas Ergonomicas Heavy Duty,$417.00,Mobiliario de Oficina,Sillas Reforzadas,Administración de Servicios de Salud Mental y Contra la Adicción,425,84,006,04,0000001227,425-84-006-04-0000001227,425-84-0000001227,425,Global Offices To Go,Overtime 350 High Back,5 Años,21-1755,1,
840-15-003-05-0000000896,Televisor O Monitor De 65,"Televisor O Monitor De 65
Class Tu700D-Series Crystal
Ultra Hd 4K","$3,396.43",Equipos Audiovisuales,Televisores,Departamento de Seguridad Pública de Puerto Rico,840,15,003,05,0000000896,840-15-003-05-0000000896,840-15-0000000896,840,Samsung,"Q6Fn, Qn65Q6Fn",3 Años,18-155-C,20,
060-53-002-06-0000000737,Bateria Vehiculo:,"Bateria Vehiculo: 
Jeep Cherokee Laredo 2010
Ge 03198 Modelo Acdelco Acd31Tp Garantia 12 Meses",$149.90,Baterías y Cargadores,Automotriz,Departamento de Hacienda,060,53,002,06,0000000737,060-53-002-06-0000000737,060-53-0000000737,60,Ac Delco,Acd31Tp,12 Meses,18-041-C,2,
070-00-003-01-0000001865,Gomas 235 65 R 16,Gomas 235 65 R 16,$160.00,Neumáticos,Neumáticos para vehículos de pasajeros,Departamento de Seguridad Pública de Puerto Rico,070,00,003,01,0000001865,070-00-003-01-0000001865,070-00-0000001865,70,Cooper,Adventure H/T,Por Defecto De Manufactura,21-RFP-005-ASG,A-16,
070-00-002-02-0000001103,Ford Escape,Ford Escape,$120.00,Vehículos,Vehículos utilitarios,Departamento de Hacienda,070,00,002,02,0000001103,070-00-002-02-0000001103,070-00-0000001103,70,Ford,Escape,,2019-000018,23,23
060-52-002-03-0000001108,Dodge Charger,Dodge Charger,$120.00,Vehículos,Vehículos utilitarios,Departamento de Hacienda,060,52,002,03,0000001108,060-52-002-03-0000001108,060-52-0000001108,60,Dodge,Charger,,2019-000018,15,
060-53-003-04-0000001848,Gomas 265 70 R 17,Gomas 265 70 R 17,$150.00,Neumáticos,Neumáticos para vehículos de pasajeros,Departamento de Seguridad Pública de Puerto Rico,060,53,003,04,0000001848,060-53-003-04-0000001848,060-53-0000001848,60,Cooper,Adventure H/T,Por Defecto De Manufactura,21-RFP-005-ASG,A-54,
060-52-003-05-0000001857,Bateria De Polos (Tp) Con No Menos De 660 Cold Crancking Amps,"Bateria De Polos (Tp) Con No Menos De 660 Cold Crancking Amps

Bateria Para Bob Cat T 630
Numero De Unidad 1332-60602


Bryan Medina Fragosa
Oficial De Enlace
Bmedina@Dsp.Pr.Gov
7879035602",$149.00,Baterías y cargadores,Baterías automotrices,Departamento de Seguridad Pública de Puerto Rico,060,52,003,05,0000001857,060-52-003-05-0000001857,060-52-0000001857,60,Adelco,Acd31Tp,12 Meses,18-041-C,2,
060-52-015-06-0000001501,"Gomas Tamaño 265 - 60R-18, (Tredwear 500), Incluye Balanceo Y Reciclaje, Marca: Dodge, Modelo: Durango, Tablilla: Ge-07477","Gomas Tamaño 265 - 60R-18, (Tredwear 500), Incluye Balanceo Y Reciclaje, Marca: Dodge, Modelo: Durango, Tablilla: Ge-07477",$157.00,Neumáticos,Neumáticos para vehículos de pasajeros,Departamento Recreación y Deportes,060,52,015,06,0000001501,060-52-015-06-0000001501,060-52-0000001501,60,Goodyear,500,Contra Defectos De Manufactura,21-RFP-005-ASG,B-31,0
060-52-003-01-0000001386,Gomas 245-75-R-16,Gomas 245-75-R-16,$160.00,Neumáticos,Neumáticos para vehículos de pasajeros,Departamento de Seguridad Pública de Puerto Rico,060,52,003,01,0000001386,060-52-003-01-0000001386,060-52-0000001386,60,Cooper,Adventure H/T,Contra Desperfecto De Fabrica,21-RFP-005-ASG,A-47,
060-52-003-02-0000001502,Gomas 205 75 R 15,"Gomas 205 75 R 15
Unidad 5008 Y 5005
Vagones De Cominicaciones",$79.00,Neumáticos,Neumáticos para vehículos de pasajeros,Departamento de Seguridad Pública de Puerto Rico,060,52,003,02,0000001502,060-52-003-02-0000001502,060-52-0000001502,60,Starfire,Solarus Classic,Por Defecto De Manufactura,21-RFP-005-ASG,A-59,
060-52-003-03-0000001416,Gomas 245 75 R 16,Gomas 245 75 R 16,$160.00,Neumáticos,Neumáticos para vehículos de pasajeros,Departamento de Seguridad Pública de Puerto Rico,060,52,003,03,0000001416,060-52-003-03-0000001416,060-52-0000001416,60,Cooper,Adventure,Contra Defecto De Manufactura,21-RFP-005-ASG,A-47,
031-67-003-04-0000001418,Gomas 245 75 R 16,Gomas 245 75 R 16,$160.00,Neumáticos,Neumáticos para vehículos de pasajeros,Departamento de Seguridad Pública de Puerto Rico,031,67,003,04,0000001418,031-67-003-04-0000001418,031-67-0000001418,31,Cooper,Adventure,Por Desperfectos De Fabrica,21-RFP-005-ASG,A-47,
060-52-002-05-0000001171,Acondicionadores De Aire Mini Split 60K Btu,"Acondicionadores De Aire Mini Split 60K Btu
Para Sustituir Unidades 140900 Y 142299
Colecturia Mayaguez 360","$3,285.00",Equipos HVAC,Aire acondicionado tipo mini split,Departamento de Hacienda,060,52,002,05,0000001171,060-52-002-05-0000001171,060-52-0000001171,60,Miden,Ceilin Floor,1 Año Serv. Y 5 Año Compresor,19-142-C,21,21
060-53-003-06-0000001560,Gomas 265-70-17,Gomas 265-70-17,$117.00,Neumáticos,Neumáticos para vehículos de pasajeros,Departamento de Seguridad Pública de Puerto Rico,060,53,003,06,0000001560,060-53-003-06-0000001560,060-53-0000001560,60,Starfire Solarus,H/T,Por Defecto De Manufactura,21-RFP-005-ASG,A-34,
060-52-003-01-0000000818,Batreria De Polos Con No Menos 660 Cold Cranking,"Batreria De Polos Con No Menos 660 Cold Cranking Para Las Siguientes Unidades:
Camiones International 42000 Del 2005
Ge-08568 Unidad 63312
Ge-08569 Unidad 63313
Ge-08570 Unidad 63314
Ge-08572 Unidad 63316
Ge-08566 Unidad 63310
Cada Unidad Utiliza 3 Baterias",$149.90,Baterías y cargadores,Baterías automotrices,Departamento de Seguridad Pública de Puerto Rico,060,52,003,01,0000000818,060-52-003-01-0000000818,060-52-0000000818,60,Ac Delco,Acd31Tp,12 Meses,18-041-C,2,
390-42-003-02-0000001469,Gomas 235-65-R-16,Gomas 235-65-R-16,$160.00,Neumáticos,Neumáticos para vehículos de pasajeros,Departamento de Seguridad Pública de Puerto Rico,390,42,003,02,0000001469,390-42-003-02-0000001469,390-42-0000001469,390,Cooper,Adventure H/T,Por Defecto De Manufactura,21-RFP-005-ASG,A-16,
060-53-013-03-0000001400,Alquiler De Equipo. Dispensadores De Agua (Water Cooler).,"Alquiler De Equipo. Dispensadores De Agua (Water Cooler). Igual O Similar. Counter Top, Cold, Firewall Uv Technology. Biocote Protection O Antibacterial Protection. Leak Detection. Capacity: Cold Tank (1.00 Gallon) Minimum. Water Temperature Minimum: Cold 36 F, Hot 185 F , Extra Hot 195 F, Compresor: 110V, 50 Hz. Especificaciones: Uea-17-74",$40.00,Refrigeración,Dispensadores de agua,Administración de Terrenos,060,53,013,03,0000001400,060-53-013-03-0000001400,060-53-0000001400,60,Waterlogic,Wl 100,,18-145-C,17,
060-52-003-04-0000001583,Bateria De Polo Regukar Con No Menos 500 Cold Cranking,"Bateria De Polo Regukar Con No Menos 500 Cold Cranking

Para Ge31727 Chevrolet Cobalt Del 2005",$98.90,Baterías y cargadores,Baterías automotrices,Departamento de Seguridad Pública de Puerto Rico,060,52,003,04,0000001583,060-52-003-04-0000001583,060-52-0000001583,60,Ac Delco,Acd24A-R,12 Meses,18-041-C,4,
060-52-003-05-0000001408,Gomas 245 75 R 16,Gomas 245 75 R 16,$160.00,Neumáticos,Neumáticos para vehículos de pasajeros,Departamento de Seguridad Pública de Puerto Rico,060,52,003,05,0000001408,060-52-003-05-0000001408,060-52-0000001408,60,Cooper,Adventure H,Contra Defecto De Manufactura,21-RFP-005-ASG,A-47,
